ID	Content

1	Setelah melalui banyak hal, [NAME] akhirnya melampaui dunia fana dan naik ke Sembilan Alam Surgawi Atas.
2	Saat berkeliling dunia abadi, [NAME] secara tidak sengaja memakan benda aneh [DAN1]. Tanpa diduga, hal ini merupakan perwujudan aneh dari Chaos. Setelah mengkonsumsinya, pencapaian [NAME] meningkat drastis hingga tak terkendali. Akhirnya [NAME] mencapai keselarasan surgawi dan menyatu dengan jalan surga.
3	Saat berkeliling di dunia keabadian, [NAME] secara tidak sengaja mengetahui betapa mendalamnya Prinsip Agung Keabadian Emas. Meskipun makhluk abadi semuanya bebas dan tidak terkekang, mereka memiliki tingkat pencapaian yang berbeda-beda, sehingga besaran kekuatannya berbeda. Hanya mereka yang mencapai pencapaian sempurna di alam fana yang mampu mencapai Prinsip Agung dan menciptakan ciptaan melampaui Kekacauan. Mendambakan hal ini, [NAME] kembali memasuki siklus reinkarnasi dengan tegas untuk mencapai Prinsip Agung suatu hari nanti.
4	Setelah berkultivasi dengan tenang selama bertahun-tahun, [NAME] akhirnya berhasil mencapai ambang batas menuju Keadaan Surgawi Abadi. Namun, karena kurangnya pengembangan kondisi mental, [NAME] menjadi tersesat ketika mencoba menerobos Keadaan Reinkarnasi, kehilangan semua pengembangan abadi dan jatuh kembali ke dalam siklus reinkarnasi.
5	[NAME] memutuskan untuk menetap setelah berkeliling dunia abadi selama bertahun-tahun. Setelah menemukan tempat yang bagus di [PLACE1], makhluk abadi mulai hidup dalam pengasingan, jauh dari gangguan apa pun dan tidak terlihat lagi.
6	[NAME] terlibat dalam berbagai konflik antar makhluk abadi saat bepergian. Tidak dapat melepaskan keterikatan karma seperti itu, [NAME] akhirnya mengalami gangguan mental abadi selama sesi kultivasi tertutup, menyebabkan tubuh dan jiwa bubar, sehingga memasuki kembali siklus reinkarnasi.
7	Dalam perang antara dunia abadi dan iblis, [NAME] sayangnya dipenuhi dengan nafas iblis. Pada saat ditemukan, tidak ada yang bisa dilakukan lagi untuk mengatasinya. Untuk menghindari nasib berubah sepenuhnya menjadi makhluk iblis, [NAME] tidak punya pilihan selain melepaskan semua kultivasi dan memasuki kembali siklus reinkarnasi.
8	Saat bepergian di [PLACE1], [NAME] menemukan anomali yang disebut [EVENT1]. Untuk lebih memahami misterinya, [NAME] memutuskan untuk membangun Rumah Gua di ruang kosong terdekat untuk menetap.\n...Selama satu sesi meditasi, wabah mutasi tiba-tiba muncul dari anomali. Tidak siap menghadapi bencana seperti itu, pikiran dan kekuatan [NAME] direnggut dan hilang selamanya karena fenomena tersebut. Tidak ada jejak sejak saat itu.
9	Setelah berkultivasi dengan tenang selama bertahun-tahun, [NAME] akhirnya berhasil mencapai ambang batas menuju Keadaan Surgawi Abadi. Namun karena kurangnya pelatihan sihir, [NAME] gagal dalam proses pembentukan kembali tubuh Anasrava, meskipun telah melalui Keadaan Reinkarnasi. Tidak ingin hidup tanpa batas waktu sebagai roh abadi, [NAME] memutuskan untuk membubarkan budidayanya sendiri dan memasuki kembali siklus reinkarnasi.
