ID	Name	Desc	EndDesc

1	Menggali Artefak	Cahaya redup harta karun terlihat pada malam hari di [TXT] dalam beberapa hari terakhir. Dikatakan bahwa beberapa artefak yang hilang digali di sana.	Artefak di [TXT] telah diambil oleh orang lain.
2	Menggali Artefak	Suar cahaya terang yang menembus awan sering muncul di [TXT] dalam beberapa hari terakhir. Dikatakan bahwa beberapa artefak berharga akan digali di sana.	Artefak di [TXT] telah diambil oleh orang lain.
3	Menggali Artefak	Perubahan drastis di bumi dan langit telah diamati saat angin dan awan bertemu di [TXT]. Dikatakan bahwa beberapa artefak kuno akan digali di sana.	Artefak di [TXT] telah diambil oleh orang lain.
4	Menggali Artefak	Perubahan drastis di bumi dan langit telah diamati saat angin dan awan bertemu di [TXT]. Dikatakan bahwa beberapa artefak kuno akan digali di sana. Dikatakan bahwa karena efek segel, lingkungan sekitar telah menjadi Tanah Embun Beku Terkutuklah ([temperature]-150[/temperature]) dan tidak dapat didekati.	Artefak di [TXT] telah diambil oleh orang lain.
5	Menggali Artefak	Perubahan drastis di bumi dan langit telah diamati saat angin dan awan bertemu di [TXT]. Dikatakan bahwa beberapa artefak kuno akan digali di sana. Dikatakan bahwa karena efek segel, lingkungan sekitar telah menjadi Tanah Terkutuklah Neraka ([temperature]500[/temperature]) dan tidak dapat didekati.	Artefak di [TXT] telah diambil oleh orang lain.
6	Mewujudkan Gua	Dikatakan bahwa sebuah gua misterius milik makhluk abadi kuno yang tidak diketahui muncul di [TXT].	Gua Abadi di [TXT] telah muncul, dan harta rahasia di dalamnya telah dijarah oleh penggarap lainnya.
7	Mewujudkan Gua	Dikatakan bahwa sebuah gua misterius milik makhluk abadi kuno yang tidak diketahui muncul di [TXT]. Gua dilindungi oleh mantra penangkal dan bagian dalamnya diselimuti suhu dingin ([temperature]-150[/temperature]), membunuh siapa pun yang tidak memiliki perlawanan terhadapnya.	Gua Abadi di [TXT] telah muncul, dan harta rahasia di dalamnya telah dijarah oleh penggarap lainnya.
8	Mewujudkan Gua	Dikatakan bahwa sebuah gua misterius milik makhluk abadi kuno yang tidak diketahui muncul di [TXT]. Gua dilindungi oleh mantra penangkal dan bagian dalamnya terbakar dengan api ([temperature]500[/temperature]), membunuh siapa pun yang tidak memiliki perlawanan terhadapnya.	Gua Abadi di [TXT] telah muncul, dan harta rahasia di dalamnya telah dijarah oleh penggarap lainnya.
9	Mewujudkan Gua	Dikatakan bahwa sebuah gua misterius milik makhluk abadi kuno yang tidak diketahui muncul di [TXT]. Pemilik gua adalah ahli Pembuatan Artefak, yang memasang jebakan dan mantra penangkal yang tak terhitung jumlahnya dengan keterampilan ini. Seseorang tidak dapat bertahan hidup dan menjelajahi gua tanpa mahir dalam Pembuatan Artefak.	Gua Abadi di [TXT] telah muncul, dan harta rahasia di dalamnya telah dijarah oleh penggarap lainnya.
10	Mewujudkan Gua	Dikatakan bahwa sebuah gua misterius milik makhluk abadi kuno yang tidak diketahui muncul di [TXT]. Pemilik gua adalah seorang ahli Alkemis, yang memasang jebakan dan mantra penangkal yang tak terhitung jumlahnya dengan keterampilan ini. Seseorang tidak dapat bertahan hidup dan menjelajahi gua tanpa mahir dalam Alkimia.	Gua Abadi di [TXT] telah muncul, dan harta rahasia di dalamnya telah dijarah oleh penggarap lainnya.
11	Jejak Buku Kuno	Dikatakan bahwa seorang manusia telah menemukan sebuah buku luar biasa yang telah lama dianggap hilang dari sebuah makam kuno. Namun buku tersebut kemudian diteruskan kepada orang lain dan akhirnya hilang di [TXT].	Buku luar biasa yang ditemukan di [TXT] diambil oleh beberapa penggarap.
12	Panduan Penggalian	Dikatakan bahwa seorang kultivator telah menemukan petunjuk dari manual rahasia yang ditinggalkan oleh makhluk abadi kuno yang dimakamkan di [TXT].	Seorang kultivator misterius, yang disukai oleh keberuntungan, telah memperoleh manual yang hilang.
14	Mewujudkan Keajaiban	Dikatakan bahwa telah ada Ukiran Batu Tebing Naga yang digali di [TXT], kemungkinan merupakan manifestasi dari keajaiban kuno yang hilang.	Seorang kultivator misterius telah mengambil keajaiban misterius ini.
