ID	Name	Desc	sParam1	sParam2

20000	Interaksi Positif	Seorang murid {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1}. Mereka segera bergabung satu sama lain dalam petualangan menarik yang membuat nama mereka terkenal di kalangan para kultivator. Oleh karena itu, kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20001	Interaksi Positif	Seorang penatua {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1} yang sedang berlatih. Penatua {0} dengan senang hati membantu murid-murid {1}, dan salah satu dari mereka bahkan berhasil menerobos saat itu. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20002	Interaksi Positif	Seorang murid {0} sedang berpetualang di dekat [PLACE] ketika mereka bertemu dengan sesepuh {1} yang sedang berlatih. Murid {0} membantu menjalankan tugas mereka dan mendapatkan bantuan dan kepercayaan dari {1} penatua. Mereka bahkan menerima berkah terbaik dari sesepuh setelahnya. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20003	Interaksi Positif	Seorang penatua {0} sedang berpetualang di dekat [PLACE] ketika mereka bertemu dengan seorang penatua {1}. Keduanya merasakan hubungan satu sama lain dan memulai diskusi mendalam tentang kultivasi. Ketika diskusi yang cerdik berlangsung, fenomena aneh mulai terjadi dan hewan menjadi spiritual. Kisah ini menyebar di kalangan petani. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20004	Interaksi Positif	Seorang penatua {0} sedang berpetualang di dekat [PLACE] ketika mereka bertemu dengan seorang penatua {1}. Bersama-sama, keduanya mengunjungi tempat-tempat indah di dekatnya, secara tidak sengaja menemukan rumah gua abadi yang kuno, dan mereka berdua menemukan banyak harta karun setelah mencari di tempat itu. Kisah ini diceritakan kembali dalam versi yang berbeda dan disebarkan di kalangan petani. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20005	Interaksi Positif	Seorang tetua {0} sedang berpetualang di dekat [PLACE] ketika mereka menyelamatkan karavan manusia yang diserang oleh binatang buas. Anehnya, kelompok orang tersebut adalah keluarga dari {1} tetua utama. Setelah itu, seluruh {1} mengungkapkan rasa terima kasih mereka atas peningkatan bantuan mereka terhadap {0}. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20006	Interaksi Positif	Seorang tetua {0} sedang mencoba menaklukkan artefak yang digali di [PLACE] ketika mereka menemukan ada sepasang artefak warisan spiritual. Terkejut, {0} hampir kehilangan artefaknya. Syukurlah, seorang tetua {1} kebetulan ada di sana untuk membantu menaklukkan mereka. Keduanya membagi artefak warisan spiritual dan menjadi teman baik setelahnya. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20007	Interaksi Positif	Seorang penatua {0} sedang berpetualang di dekat [PLACE] ketika mereka bertemu dengan seorang penatua {1} yang diserang oleh banyak binatang berbahaya. Tetua {0} memutuskan untuk mengambil risiko dan membantu membunuh monster tersebut, dan pada akhirnya mendapatkan keuntungan besar. Keduanya mengembangkan kekaguman satu sama lain dan akhirnya menjadi pasangan Tao. Kisah ini diceritakan di antara para petani. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20008	Interaksi Positif	Seorang tetua {0} sedang berpetualang di dekat [PLACE] ketika mereka bertemu dengan seorang tetua {1} yang dikejar musuh. Tanpa bantuan atau bantuan apa pun, tetua {0} turun tangan, membunuh puluhan orang dan mengantar mereka ke markas {1}. Kisah sensasional diceritakan di antara para petani. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
