Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
EatShit	Saya tidak akan pernah makan kotoran, kecuali jika diberikan kepada saya	Saya jarang makan kotoran	Saya kadang-kadang makan kotoran	Saya terkadang makan kotoran	Saya sering makan kotoran										
EatEssence	Saya tidak akan pernah makan Spirit Root, kecuali jika diberikan kepada saya	Saya jarang makan Spirit Root	Saya kadang-kadang makan Spirit Root	Saya terkadang makan Spirit Root	Saya sering makan Spirit Root										
EatDrug	Saya tidak akan pernah mengemil Elixir saya, kecuali jika diberikan kepada saya	Saya jarang ngemil Elixir saya	Saya sesekali mengemil Elixir saya	Saya terkadang mengemil Elixir saya	Saya sering mengemil Elixir saya										
EatWheat	Saya hanya akan makan Gandum jika hidup saya bergantung padanya	Saya jarang makan Gandum	Saya sesekali makan Gandum	Saya terkadang makan Gandum	Saya sering makan Gandum										
EatDryMeat	Saya hanya akan makan Daging Kering jika hidup saya bergantung padanya	Saya jarang makan Daging Kering	Saya sesekali makan Daging Kering	Saya terkadang makan Daging Kering	Saya sering makan Daging Kering										
EatPear	Saya hanya akan makan buah pir jika hidup saya bergantung padanya	Saya jarang makan Pir	Saya sesekali makan Pir	Saya terkadang makan Pir	Saya sering makan Pir										
EatMeat	Saya hanya akan makan Daging Mentah jika hidup saya bergantung padanya	Saya jarang makan Daging Mentah	Saya sesekali makan Daging Mentah	Saya terkadang makan Daging Mentah	Saya sering makan Daging Mentah										
EatCook	Saya tidak akan pernah makan Makanan yang Dimasak meskipun hidup saya bergantung padanya	Saya jarang makan Makanan yang Dimasak	Saya sesekali makan Makanan yang Dimasak	Saya terkadang makan Makanan yang Dimasak	Saya sering makan Makanan yang Dimasak										
EatWeight	Aku hanya makan saat aku lapar	Saya makan ketika saya sangat lapar	Aku akan mencari sesuatu untuk dimakan ketika aku lapar	Saya makan ketika saya mulai lapar	Saya makan ketika saya merasa sedikit lapar	-1	-1	0	1	1					
BiteBuilding	Saya tidak akan pernah menyerang bangunan	Saya jarang menyerang bangunan	Saya kadang-kadang menyerang bangunan	Saya terkadang menyerang bangunan	Saya sering menyerang bangunan tanpa ampun										
BiteClothes	Saya tidak akan pernah menyerang pakaian	Saya jarang menyerang pakaian	Saya kadang-kadang menyerang pakaian	Saya terkadang menyerang pakaian	Saya sering menyerang pakaian tanpa ampun										
BiteOuter	Saya tidak akan pernah menyerang Murid Luar	Saya jarang menyerang Murid Luar	Saya kadang-kadang menyerang Murid Luar	Saya terkadang menyerang Murid Luar	Saya sering menyerang Murid Luar tanpa ampun										
BiteInner	Saya tidak akan pernah menyerang Murid Batin	Saya jarang menyerang Murid Batin	Saya kadang-kadang menyerang Murid Batin	Murid Batin menyerang Murid Batin	Saya sering tanpa ampun menyerang Murid Batin										
BiteVisitor	Saya tidak akan pernah menyerang pengunjung	Saya jarang menyerang pengunjung	Saya kadang-kadang menyerang pengunjung	Saya terkadang menyerang pengunjung	Saya sering tanpa ampun menyerang pengunjung										
BiteIncoming	Saya tidak akan pernah menyerang tamu	Saya jarang menyerang tamu	Saya sesekali menyerang tamu	Saya terkadang menyerang tamu	Saya sering menyerang tamu tanpa ampun										
AtkEnemy	Saya tidak akan pernah menyerang musuh, kecuali mereka yang mengambil langkah pertama	Saya jarang menyerang musuh	Saya sesekali menyerang musuh	Saya terkadang menyerang musuh	Begitu musuh menyerang, saya pun ikut menyerang										
AtkDizzyOuter	Saya tidak akan pernah menyerang Murid Luar yang tidak sadarkan diri	Saya jarang menyerang Murid Luar yang tidak sadarkan diri	Saya kadang-kadang menyerang Murid Luar yang tidak sadarkan diri	Saya terkadang menyerang Murid Luar yang tidak sadarkan diri	Saya sering menyerang Murid Luar yang tidak sadarkan diri										
AtkDizzyInner	Saya tidak akan pernah menyerang Murid Batin yang tidak sadarkan diri	Saya jarang menyerang Murid Batin yang tidak sadarkan diri	Saya kadang-kadang menyerang Murid Batin yang tidak sadarkan diri	Saya terkadang menyerang Murid Batin yang tidak sadarkan diri	Saya sering menyerang Murid Luar yang tidak sadarkan diri										
AtkDizzyComing	Saya tidak akan pernah menyerang tamu yang tidak sadarkan diri	Saya jarang menyerang tamu yang tidak sadarkan diri	Saya kadang-kadang menyerang tamu yang tidak sadarkan diri	Saya terkadang menyerang tamu yang tidak sadarkan diri	Saya sering menyerang tamu yang tidak sadarkan diri										
AtkDizzyVisitor	Saya tidak akan pernah menyerang pengunjung yang tidak sadarkan diri	Saya jarang menyerang pengunjung yang tidak sadarkan diri	Saya kadang-kadang menyerang pengunjung yang tidak sadarkan diri	Saya terkadang menyerang pengunjung yang tidak sadarkan diri	Saya sering menyerang pengunjung yang tidak sadarkan diri										
ShitAtShitPlace	Saya tidak akan pernah buang air besar di Tempat	Saya jarang buang air besar di Tempat	Saya sesekali buang air besar di Tempat tersebut	Saya kadang buang air besar di Tempat	Saya sering buang air besar di Tempat										
ShitAtPlants	Saya tidak akan pernah buang air besar di Tanaman	Saya jarang buang air besar di Tanaman	Saya sesekali buang air besar di Tanaman	Saya terkadang buang air besar di Tanaman	Saya sering buang air besar di Tanaman										
ShitAtDogHouse	Saya tidak pernah buang air besar di Nests	Saya jarang buang air besar di Sarang	Saya sesekali buang air besar di Sarang	Saya terkadang buang air besar di Sarang	Saya sering buang air besar di Sarang										
ShitAtStorage	Saya tidak pernah buang air besar di Gudang	Saya jarang buang air besar di Gudang	Saya sesekali buang air besar di Gudang	Saya kadang buang air besar di Gudang	Saya sering buang air besar di Gudang										
ShitOnBed	Saya tidak akan pernah buang air besar di tempat tidur	Saya jarang buang air besar di Ranjang	Saya sesekali buang air besar di Ranjang	Saya terkadang buang air besar di tempat tidur	Saya sering buang air besar di tempat tidur										
ShitInFarm	Saya tidak akan pernah buang air besar di lapangan	Saya jarang buang air besar di lapangan	Saya sesekali buang air besar di lapangan	Saya kadang buang air besar di lapangan	Saya sering buang air besar di lapangan										
CarryOuterToBed	Saya tidak akan pernah memindahkan Murid Luar yang tidak sadarkan diri ke Tempat Tidur	Saya jarang memindahkan Murid Luar yang tidak sadarkan diri ke Tempat Tidur	Saya kadang-kadang memindahkan Murid Luar yang tidak sadarkan diri ke Tempat Tidur	Saya kadang-kadang memindahkan Murid Luar yang tidak sadarkan diri ke Tempat Tidur	Saya sering memindahkan Murid Luar yang tidak sadarkan diri ke Tempat Tidur										
CarryVisitorToDest	Saya tidak akan pernah memindahkan pengunjung yang tidak sadarkan diri ke Staging Area	Saya jarang memindahkan pengunjung yang tidak sadarkan diri ke Staging Area	Saya kadang-kadang memindahkan pengunjung yang tidak sadarkan diri ke Staging Area	Saya terkadang memindahkan pengunjung yang tidak sadarkan diri ke Staging Area	Saya sering memindahkan pengunjung yang tidak sadarkan diri ke Staging Area										
CarryEnemyToDest	Saya tidak akan pernah memindahkan musuh yang tidak sadarkan diri ke Staging Area	Saya jarang memindahkan musuh yang tidak sadarkan diri ke Staging Area	Saya sesekali memindahkan musuh yang tidak sadarkan diri ke Staging Area	Saya terkadang memindahkan musuh yang tidak sadarkan diri ke Staging Area	Saya sering memindahkan musuh yang tidak sadarkan diri ke Staging Area										
