ID	Des	Disname

-1	Kosong	Empty
1	Berikan artefak tersebut sejumlah kecil Artifact Mastery Epiphany.	Tao Epiphany: Small
2	Berikan artefak tersebut sejumlah kecil Artifact Mastery Epiphany.	Tao Epiphany: Large
3	Berikan artefak dengan sedikit Spellcraft Epiphany.	Tao Epiphany: Small
4	Berikan artefak dengan Spellcraft Epiphany dalam jumlah besar.	Tao Epiphany: Large
5	Berikan artefak tersebut sejumlah kecil Protection Epiphany.	Tao Epiphany: Small
6	Berikan artefak tersebut dengan Epiphany Perlindungan dalam jumlah besar.	Tao Epiphany: Large
7	Berikan artefak tersebut sedikit Alchemy Epiphany.	Tao Epiphany: Small
8	Berikan artefak tersebut Alchemy Epiphany dalam jumlah besar.	Tao Epiphany: Large
9	Berikan artefak tersebut dengan sejumlah kecil Artifact Crafting Epiphany.	Tao Epiphany: Small
10	Berikan artefak tersebut dengan Artifact Crafting Epiphany dalam jumlah besar.	Tao Epiphany: Large
11	Berikan artefak dengan panduan pemula Penguasaan Artefak.	Secret Epiphany: [TXT]
12	Berikan artefak dengan manual tingkat lanjut Penguasaan Artefak.	Secret Epiphany: [TXT]
13	Berikan artefak tersebut dengan panduan Penguasaan Artefak yang sangat bagus.	Secret Epiphany: [TXT]
14	Berikan artefak tersebut panduan mendalam tentang Penguasaan Artefak.	Secret Epiphany: [TXT]
15	Berikan artefak dengan panduan pemula Spellcraft.	Secret Epiphany: [TXT]
16	Berikan artefak dengan manual tingkat lanjut Spellcraft.	Secret Epiphany: [TXT]
17	Berikan artefak tersebut dengan manual Spellcraft yang sangat bagus.	Secret Epiphany: [TXT]
18	Berikan artefak tersebut dengan panduan mendalam tentang Spellcraft.	Secret Epiphany: [TXT]
19	Berikan artefak tersebut dengan panduan Perlindungan pemula.	Secret Epiphany: [TXT]
20	Berikan artefak tersebut panduan Perlindungan tingkat lanjut.	Secret Epiphany: [TXT]
21	Berikan artefak tersebut panduan Perlindungan yang sangat bagus.	Secret Epiphany: [TXT]
22	Berikan artefak tersebut panduan Perlindungan yang mendalam.	Secret Epiphany: [TXT]
23	Berikan artefak tersebut dengan panduan pemula Alkimia.	Secret Epiphany: [TXT]
24	Berikan artefak tersebut dengan manual Alkimia tingkat lanjut.	Secret Epiphany: [TXT]
25	Berikan artefak tersebut dengan panduan Alkimia yang sangat bagus.	Secret Epiphany: [TXT]
26	Berikan artefak tersebut dengan panduan Alkimia yang mendalam.	Secret Epiphany: [TXT]
27	Berikan artefak tersebut dengan panduan pemula Pembuatan Artefak.	Secret Epiphany: [TXT]
28	Berikan artefak tersebut panduan lanjutan Pembuatan Artefak.	Secret Epiphany: [TXT]
29	Berikan artefak tersebut dengan panduan Pembuatan Artefak yang sangat bagus.	Secret Epiphany: [TXT]
30	Berikan artefak tersebut panduan mendalam tentang Pembuatan Artefak.	Secret Epiphany: [TXT]
31	Berikan artefak tersebut dengan panduan budidaya pemula.	Secret Epiphany: [TXT]
32	Berikan artefak tersebut dengan manual Budidaya tingkat lanjut.	Secret Epiphany: [TXT]
33	Berikan artefak tersebut dengan panduan Budidaya yang sangat bagus.	Secret Epiphany: [TXT]
34	Berikan artefak tersebut dengan panduan mendalam tentang Budidaya.	Secret Epiphany: [TXT]
35	Berikan artefak dengan sedikit keterampilan, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Tiny
36	Berikan artefak dengan sedikit keterampilan, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Small
37	Berikan artefak dengan keterampilan dalam jumlah sedang, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Medium
38	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Large
39	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Huge
40	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Artefaknya.	Skill Epiphany: Massive
41	Berikan artefak dengan sedikit keterampilan, yang akan meningkatkan Kekuatan Mantranya.	Skill Epiphany: Tiny
42	Berikan artefak dengan sedikit keterampilan, tingkatkan Kekuatan Mantranya.	Skill Epiphany: Small
43	Berikan artefak dengan keterampilan dalam jumlah sedang, sehingga meningkatkan Kekuatan Mantranya.	Skill Epiphany: Medium
44	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Mantranya.	Skill Epiphany: Large
45	Berikan artefak dengan keterampilan dalam jumlah besar, tingkatkan Kekuatan Mantranya.	Skill Epiphany: Huge
46	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Mantranya.	Skill Epiphany: Massive
47	Berikan artefak itu sedikit keterampilan, yang akan meningkatkan Kekuatan Penghalangnya.	Skill Epiphany: Tiny
48	Berikan artefak dengan sedikit keterampilan, tingkatkan Kekuatan Penghalangnya.	Skill Epiphany: Small
49	Berikan artefak dengan keterampilan dalam jumlah sedang, sehingga meningkatkan Kekuatan Penghalangnya.	Skill Epiphany: Medium
50	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Penghalangnya.	Skill Epiphany: Large
51	Berikan artefak tersebut keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Penghalangnya.	Skill Epiphany: Huge
52	Berikan artefak tersebut keterampilan dalam jumlah besar, sehingga meningkatkan Kekuatan Penghalangnya.	Skill Epiphany: Massive
53	Berikan artefak tersebut sedikit keterampilan, yang akan meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Tiny
54	Berikan artefak dengan sedikit keterampilan, sehingga meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Small
55	Berikan artefak dengan keterampilan dalam jumlah sedang, sehingga meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Medium
56	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Large
57	Berikan artefak tersebut keterampilan dalam jumlah besar, yang akan meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Huge
58	Berikan artefak tersebut keterampilan dalam jumlah besar, yang akan meningkatkan Tingkat Keberhasilan Artefak Besarnya.	Skill Epiphany: Massive
59	Berikan artefak tersebut sedikit keterampilan, yang akan meningkatkan Hasil Alkimianya.	Skill Epiphany: Tiny
60	Berikan artefak dengan sedikit keterampilan, sehingga meningkatkan Hasil Alkimia.	Skill Epiphany: Small
61	Berikan artefak dengan keterampilan dalam jumlah sedang, sehingga meningkatkan Hasil Alkimia.	Skill Epiphany: Medium
62	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Hasil Alkimia.	Skill Epiphany: Large
63	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Hasil Alkimia.	Skill Epiphany: Huge
64	Berikan artefak dengan keterampilan dalam jumlah besar, sehingga meningkatkan Hasil Alkimia.	Skill Epiphany: Massive
65	Berikan artefak dengan sedikit keterampilan, tingkatkan Kecepatan Budidaya.	Skill Epiphany: Tiny
