ID	Flag	Desc	Txt	Pic	Link	Voice

1	1	Pilih karakter untuk pertama kalinya.	Menu Karakter menampilkan kondisi karakter, misalnya [color=#D06508]Hunger[/color] dan [color=#D06508]Mood[/color]. Pemain juga dapat menggunakan [color=#D06508]tombol interaksi[/color] Menu Karakter untuk memberikan perintah kepada karakter secara langsung.	ui\Help2_en\001	21	m1
2	1	Klik perintah pengumpulan sumber daya di bagian bawah layar untuk pertama kalinya.	Pemain dapat memberikan perintah untuk mengumpulkan sumber daya menggunakan perintah di bagian bawah: [color=#D06508]Klik[/color] sumber daya satu kali untuk memerintahkan target mengumpulkannya. [color=#D06508]Seret[/color] ke suatu area untuk memerintahkan target mengumpulkan sumber daya di area tersebut.	ui\Help2_en\002	33	m2
3	1	Klik jelajahi di bagian bawah layar untuk pertama kalinya.	Gunakan perintah explore pada area yang tertutup kabut, karakter yang [color=#D06508]Hunt[/color] akan menjelajahi area tersebut. Perhatikan, penjelajahan menghabiskan lebih banyak [color=#D06508]Energi[/color], yang hanya dapat dipulihkan dengan tidur.	ui\Help2_en\003		m3
4	1	Pilih Tanaman/Item/Mineral, dll. untuk pertama kalinya.	Setelah memilih Item, tombol interaksi dapat digunakan di bagian atas menu Item untuk memberikan perintah yang sesuai. Detail item dapat dilihat dengan mengarahkan mouse ke item tersebut.	ui\Help2_en\004		m4
5	1	Buka menu Kerja untuk pertama kalinya.	Tugas murid luar dapat diatur di menu Pekerjaan. Dalam menu kerja, prioritas tugas diturunkan dari [color=#D06508]kiri ke kanan[/color], namun pemain dapat memilih karakter dan memberikan tugas [color=#D06508]prioritas khusus[/color]. Perilaku murid batiniah tidak dibatasi oleh menu kerja.	ui\Help2_en\005	31	m5
6	1	Buka menu Sekte untuk pertama kalinya.	Ketika karakter menyelesaikan Pelatihan Dasar, mereka menjadi murid batin dan dapat menggunakan Pendirian di menu Sekte. Dengan menggunakan menu sekte, pemain dapat mengelola sekte, mengakses data Sekte, dan operasi lainnya.	ui\Help2_en\006	611	m6
7	1	Buka menu Dunia untuk pertama kalinya.	Setelah Pendirian selesai, murid dalam dapat dikirim ke Petualangan menggunakan menu ini. Saat karakter sedang dalam Petualangan, mereka mungkin menghadapi Petualangan Tak terduga yang mungkin memiliki berbagai manfaat seperti menambah reputasi atau mendapatkan akses ke Sumber Daya langka.	ui\Help2_en\007	610	m7
8	1	Klik tombol Bangun untuk pertama kalinya.	Bangunan yang dapat dibangun dapat ditemukan di menu Build. Dari menu ini build order juga dapat diberikan. Saat Anda maju dalam permainan, lebih banyak opsi akan terbuka. Harap diperhatikan, beberapa bangunan memerlukan [color=#D06508] titik pembangunan [/color], pastikan untuk menyisakan ruang untuk titik pembangunan saat memilih lokasi struktur.	ui\Help2_en\008	41	m8
9	1	Membangun observatorium untuk pertama kalinya.	Anda telah membangun sebuah observatorium, kini Anda dapat Periksa Feng Shui menggunakan simbol Yin Yang di pojok kiri bawah. Feng Shui secara tidak langsung mempengaruhi seluruh aspek permainan, sehingga harus diperhitungkan dalam konstruksi Sekte.	ui\Help2_en\009	51	m9
10	1	Bangun Platform Artefak untuk pertama kalinya.	Anda telah membuat Meja Kerajinan. Anda sekarang dapat membuat artefak menggunakan tombol kerajinan di Menu Karakter Murid Dalam. Barang apa pun dapat digunakan untuk membuat artefak. Item yang berbeda memiliki properti berbeda yang memengaruhi statistik artefak yang dibuat.	ui\Help2_en\010	68	m10
11	1	Bangun Tungku Alkimia untuk pertama kalinya.	Anda telah membangun tungku alkimia. Anda sekarang dapat membuat ramuan menggunakan tombol buat di Menu Karakter Murid Dalam. Saat Anda melanjutkan permainan, Anda akan menemukan resep baru, yang harus Anda lakukan hanyalah meminta karakter membaca resep untuk membuka kunci formula.	ui\Help2_en\011	68	m11
12	1	Buka menu Talisman untuk pertama kalinya.	Jimat memiliki efek yang kuat. Jimat yang telah disiapkan dapat digunakan oleh karakter untuk mengubah statistiknya. Saat Anda melanjutkan permainan, Anda akan menemukan desain baru, yang harus Anda lakukan adalah meminta karakter memeriksa desain untuk membuka kunci jimat.	ui\Help2_en\012	68	m12
13	1	Buka menu Sosial/Suasana Hati untuk pertama kalinya.	Anda telah membuka menu Mood. Dari sini Anda dapat melihat beragam emosi karakter yang menunjukkan kebutuhannya. Harap perhatikan baik-baik suasana hati karakter dan penuhi kebutuhan mereka untuk memastikan semuanya berjalan lancar di Sekte.	ui\Help2_en\013	23	m13
14	1	Buka menu Kesehatan untuk pertama kalinya.	Anda telah membuka menu Kesehatan. Dalam menu ini, Anda dapat melihat status kesehatan karakter, apakah mereka terluka, pulih, dll. Harap perhatikan baik-baik kesehatan karakter dan pastikan untuk membiarkan karakter yang terluka beristirahat untuk memastikan semuanya berjalan lancar di Sekte.	ui\Help2_en\014	25	m14
15	1	Pertama kali Anda membuka menu Training.	Anda baru saja membuka menu Pelatihan. Di menu ini, Anda dapat melihat informasi tentang status Pelatihan karakter. Seiring dengan kemajuan status budidaya, konten menu Pelatihan akan berubah. Menu ini tersedia setelah mendapatkan metode Pelatihan.	ui\Help2_en\016	62	m15
16	1	Pilih area untuk menanam tanaman untuk pertama kalinya.	Anda telah memilih suatu bidang, sekarang Anda dapat memilih tanaman yang akan ditanam di bidang tersebut. Tanaman yang berbeda memiliki kebutuhan tanah yang berbeda, seperti suhu, pencahayaan, dll. Perhatikan kebutuhan tanaman yang berbeda dan usahakan untuk memastikan tanaman memiliki kondisi pertumbuhan yang optimal.	ui\Help2_en\019	36	m16
17	1	Pilih area penyimpanan untuk pertama kalinya.	Anda telah memilih area penyimpanan, karakter akan menyimpan item di sini. Anda dapat mengonfigurasi [color=#D06508]filter[/color] untuk memilih jenis item yang disimpan.	ui\Help2_en\021	36	m17
18	1	Membangun struktur produksi untuk pertama kalinya. (Meja Obat, dll.)	Anda telah membangun struktur produksi. Buka jadwal produksi struktur untuk menjadwalkan pesanan produksi. Anda dapat mengatur item dalam antrean produksi ke [color=#D06508]recycle[/color], dll.	ui\Help2_en\022	34	m18
19	1	Bangun ruangan untuk pertama kalinya.	Anda telah membangun sebuah ruangan. Di dalam ruangan, suhu, Daya Tarik, dan atribut lainnya akan diperhitungkan. Selain itu, tata letak ruangan, kualitas, dll juga dievaluasi. Anda dapat mengklik lantai suatu ruangan untuk memeriksa ruangan itu sendiri.	ui\Help2_en\023	43	m19
20	1	Saat mood karakter turun di bawah 40	Mood salah satu karakter Anda terlalu rendah. Status suasana hati Karakter dapat ditemukan dengan cepat dan nyaman di bagian bawah layar. Jika mood Karakter mulai melemah, buka menu Mood untuk mengetahui situasinya dan cara mengatasinya.	ui\Help2_en\024	23	m20
21	1	Seorang karakter mengendur untuk pertama kalinya	Anda memiliki murid luar yang malas. Ketika mood Murid turun di bawah 30, mereka akan malas bekerja. Jika hal ini terjadi, Murid tidak akan dapat bekerja. Jika mood karakter pulih hingga 45 atau lebih tinggi, mereka akan kembali normal.	ui\Help2_en\025	23	m21
22	1	Anda memiliki karakter yang menemukan suhunya tidak sesuai untuk pertama kalinya.	Anda memiliki karakter yang menganggap suhunya tidak sesuai. Anda dapat meningkatkan peralatan (misalnya, Pakaian atau Jimat yang lebih sesuai) atau mengubah lingkungan (misalnya, menyalakan Api Unggun, menggunakan Bahan dingin untuk membuat furnitur) untuk membantu Karakter mengatasi suhu.	ui\Help2_en\026	23	m22
23	1	Anda Persediaan makanan semakin menipis	Persediaan Makanan Anda tidak mencukupi, silakan dapatkan lebih banyak Makanan sebelum persediaan Anda habis. Jika persediaan Makanan habis, Karakter akan mati kelaparan.	ui\Help2_en\027		m23
24	1	Persediaan medis Anda hampir habis.	Persediaan medis Anda tidak mencukupi, silakan dapatkan lebih banyak Obat sebelum persediaan Anda habis. Jika persediaan medis habis, Karakter tidak akan bisa pulih ketika terluka.	ui\Help2_en\028		m24
25	1	Pertama kali makan kotoran	Anda memiliki Karakter yang sangat lapar hingga memakan kotoran. Perlu diketahui, memakan kotoran berkali-kali berturut-turut dapat menyebabkan kembung dan kematian. Untuk mengatasi situasi tersebut dengan cepat, Anda dapat memilih tanaman yang mudah matang, seperti jamur, pergi berburu, atau bertualang ke Desa Nanping untuk mengumpulkan Makanan.	ui\Help2_en\029		m25
26	1	Penyimpanan stamina hampir habis	Pelatihan Murid Batin membutuhkan Stamina. Jika Stamina Karakter habis, mereka tidak akan bisa Berlatih.	ui\Help2_en\030	63	m26
27	1	Anda memiliki musuh yang mendekat	Sekelompok musuh telah muncul, mereka bersiap menyerang. Kekuatan musuh bergantung pada Reputasi Sekte. Semakin besar Reputasi Sekte Anda, semakin kuat pula musuhnya.	ui\Help2_en\031	21	m27
28	1	Seseorang telah menerima luka.	Anda memiliki Karakter yang terluka, lihat menu Kesehatan untuk informasi lebih lanjut tentang cedera tersebut. Kecepatan pemulihan bergantung pada [color=#D06508]kemampuan pemulihan karakter yang terluka[/color], [color=#D06508]kemampuan medis penyembuh[/color], dan [color=#D06508]obat yang digunakan[/color]. Jika orang yang terluka tidak kunjung pulih setelah disembuhkan, cobalah untuk memperbaiki satu atau lebih dari hal tersebut.	ui\Help2_en\032	25	m28
