ID	Name	Desc	sParam1	sParam2

1	Jernih	Ini adalah hari yang sangat cerah dan cerah, tetapi Anda tidak tahu berapa lama hari itu akan berlangsung.		
2	Berawan	Ini adalah hari yang sangat suram dan berawan, namun Anda tidak tahu berapa lama hari itu akan berlangsung.		
3	Hujan ringan	Hujan sudah mulai turun dengan ringan.		
4	Hujan lebat	Hujan mulai turun dengan deras.		
5	Kabut Tebal	Kabut tebal tiba-tiba mulai terbentuk.		
6	Suasana hati yang suram	Suasana suram yang aneh mulai merasuki sekte tersebut.		
7	Roman	Suasana romantis mulai merasuki sekte tersebut.		
8	Gangguan	Orang-orang di seluruh sekte tiba-tiba mulai mudah tersinggung.		
9	Memanggil	Hujan es sudah mulai turun. (Tidak diterapkan)		
10	Musim hujan	Musim hujan telah dimulai.		
11	Kekeringan	Musim kemarau sudah dimulai.		
12	Hujan badai	Hujan badai lebat telah dimulai, dan Elemen Air di seluruh langit dan bumi sangat aktif.		
13	Angin Foehn	Angin foehn yang kering dan hangat telah mulai, dan Elemen Api di seluruh langit dan bumi sangat aktif.		
14	Badai Debu	Badai debu menyapu seluruh daratan, dan Elemen Tanah di seluruh langit dan bumi sangat aktif.		
15	Kekeringan Qi	Untuk alasan yang tidak diketahui, ini adalah musim kekeringan Qi di seluruh dunia.		
16	Panas	Musim panas akan datang, jadi cuaca akan sangat hangat. Pastikan untuk mencegah sengatan panas.		
17	Musim Dingin yang Dingin	Musim dingin akan datang, sehingga cuaca akan sangat dingin. Pastikan untuk tetap hangat.		
18	Malam Kutub	Awan aneh menutupi matahari. Butuh beberapa waktu hingga Anda dapat melihat sinar matahari lagi.		
19	Racun	Udara berbahaya meningkat di seluruh area, dan Elemen Kayu di seluruh langit dan bumi sangat aktif.		
20	Hujan badai	Badai petir akan datang, dan Elemen Logam di seluruh langit dan bumi sangat aktif.		
21	Binatang buas	A Fei telah muncul di dekat daerah tersebut, dan hujan terus menerus turun serta penyakit.		
22	Binatang buas	Lushu telah muncul di dekat area tersebut, dan membawa cuaca cerah serta suasana yang menguntungkan.		
23	Peri Kecil yang Aneh	Sekelompok binatang kecil dari Dunia Lain berkeliaran dengan harta karun ketika mereka melewati sekte Anda. Binatang buas ini sangat pemalu, tetapi kedua alam memiliki aturan yang berbeda, sehingga metode umum yang digunakan oleh para pembudidaya tidak dapat mempengaruhi mereka, dan makhluk kecil ini sering membuat kerusuhan di seluruh dunia. Untuk mendapatkan harta karun dari mereka, Anda perlu memikirkan hal lain.		
24	Binatang buas	Binatang buas telah muncul di dekat area tersebut.		
25	Harta karun	Seberkas cahaya telah jatuh dari langit. Tampaknya itu adalah sesuatu yang berharga.		
26	Harta karun	Pertarungan magis yang sengit terjadi di langit tidak jauh dari sini. Sesuatu yang berharga telah jatuh di dekat area tersebut.		
27	Harta karun	Seberkas cahaya tiba-tiba melonjak ke langit. Tampaknya ada harta karun yang menghiasi area ini.		
28	Pengungsi yang lewat	Seorang pengungsi yang melarikan diri dari perang sedang lewat, dan [IT] ingin bergabung dengan Anda.		
29	Rahasia			
30	Rahasia			
31	Rahasia			
32	Rahasia			
33	Rahasia			
34	Menyerang	Sekelompok pria buas dari Hutan Selatan telah menyerang Anda.		
35	Menyerang	Sekelompok bandit yang mencari nafkah dengan merampok orang di seluruh kota telah menyerang Anda.		
36	Menyerang	Sekelompok pembudidaya nakal dari Laut Timur telah menyerang Anda demi uang dan sumber daya Anda.		
37	Menyerang	Anda sedang diserang oleh sekelompok penggarap jahat dari barat.		
38	Menyerang	Sekte Anda sedang diserang oleh sekelompok murid nakal dari sekte jahat.		
39	Menyerang	Sekte Anda sedang diserang oleh sekelompok pembudidaya yang kuat.		
40	Menyerang	Sekte Anda sedang diserang oleh sekelompok pembudidaya jahat yang terkenal.		
41	Waktu yang Berbeda	Gempa bumi terjadi di Wild South baru-baru ini, dan sejumlah besar orang biadab dan bandit dari selatan melarikan diri ke sini.		
42	Pengunjung Abadi	Seorang teman abadi Anda sedang mengunjungi sekte Anda, dan dia mungkin ingin tinggal selama beberapa hari.	Immortal Visitor	
43	Orang Asing yang Bingung	Ada orang asing yang tersesat di sekitar sini, dan berharap kami dapat membantu mereka.	Confused Stranger	
44	Orang Asing yang Penasaran	Orang asing yang penasaran menemukan tempat ini secara tidak sengaja, dan [IT] ingin tahu apa sebenarnya yang kami lakukan.	Curious Stranger	
45	Orang Asing yang Terluka	Ada orang asing yang terluka, dan [IT] ingin tinggal di sini sebentar dan meminta bantuan kami.	Injured Stranger	
46	Salju Ringan	Salju sudah mulai turun.		
47	Salju Lebat	Salju sudah mulai turun dengan lebat.		
48	Pengamat	Seorang kultivator sedang mengamati Anda, tetapi sepertinya mereka tidak bermaksud jahat.	Observer	
49	Serangan Binatang	Sekelompok serigala lapar muncul di dekat sini, dan mereka sangat bermusuhan.		
50	Serangan Binatang	Sekelompok kelinci gila muncul di dekat sini, dan mereka sangat bermusuhan.		
51	Serangan Binatang	Sekelompok ular agresif muncul di dekat sini, dan mereka sangat bermusuhan.		
52	Serangan Binatang	Sekelompok babi hutan yang panik muncul di dekat sini, dan mereka sangat bermusuhan.		
53	Rahasia			
54	Rahasia			
55	Rahasia			
56	Rahasia			
57	Rahasia			
58	Rahasia			
59	Rahasia			
61	Rahasia			
62	Rahasia			
63	Rahasia			
64	Rahasia			
65	Rahasia			
66	Rahasia			
67	Rahasia			
68	Rahasia			
69	Rahasia			
70	Rahasia			
71	Rahasia			
72	Rahasia			
73	Rahasia			
74	Rahasia			
75	Rahasia			
80	Angin Hangat	Hembusan angin hangat melewati area ini pada hari-hari terdingin, dan musim dingin kali ini akan jauh lebih hangat.		
81	Angin Dingin	Hembusan angin dingin melewati area ini selama hari-hari terpanas, dan musim panas ini akan jauh lebih dingin.		
82	Semangat Panen	Semangat panen yang baik mulai merasuki daerah tersebut.		
83	Semburan Qi	Untuk alasan yang tidak diketahui, Qi di langit dan bumi tiba-tiba mulai meledak. Beberapa tanaman terpengaruh dan menjadi Spiritwood.		
84	Rahasia			
85	Musim semi akan datang	Kehangatan musim semi meresap ke udara.		
86	Invasi Binatang Buas	Beberapa monster kelinci muncul di dekat sini, dan mereka sangat bermusuhan.		
87	Invasi Binatang Buas	Beberapa monster serigala muncul di dekat sini, dan mereka sangat bermusuhan.		
88	Invasi Binatang Buas	Beberapa monster ular muncul di dekat sini, dan mereka sangat bermusuhan.		
89	Invasi Binatang Buas	Beberapa monster babi hutan telah muncul di dekat sini, dan mereka sangat bermusuhan.		
90	Invasi Binatang Buas	Beberapa monster beruang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
91	Invasi Binatang Buas	Beberapa katak raksasa muncul di dekat sini, dan mereka sangat bermusuhan.		
92	Invasi Binatang Buas	Beberapa kura-kura raksasa muncul di dekat sini, dan mereka sangat bermusuhan.		
93	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
94	Jejak Naga Banjir			
95	Jejak Phoenix			
96	Jejak Naga Obor			
97	Penggarap Kuno			
98	Rahasia			
99	Rahasia			
100	Rahasia			
101	Rahasia			
102	Pengunjung Abadi	Seorang teman abadi Anda diundang untuk mengunjungi sekte Anda, dan dia akan tinggal selama beberapa hari.	Immortal Visitor	
103	Jejak Ditemukan			
104	Rahasia			
105	Roh Hidup Lewat	[NAME] makhluk hidup telah muncul di dekat sini, dan dipenuhi dengan rasa ingin tahu.		
106	Roh Hidup Lewat	[NAME] makhluk hidup telah muncul di dekat sini, dan dipenuhi dengan rasa ingin tahu.		
107	Invasi Binatang Buas	Beberapa monster ayam muncul di dekat sini, dan mereka sangat bermusuhan.		
108	Invasi Binatang Buas	Beberapa monster ayam muncul di dekat sini, dan mereka sangat bermusuhan.		
109	Invasi Binatang Buas	Beberapa monster banteng muncul di dekat sini, dan mereka sangat bermusuhan.		
110	Invasi Binatang Buas	Beberapa monster harimau muncul di dekat sini, dan mereka sangat bermusuhan.		
111	Serangan Binatang	Sekelompok ayam gila muncul di dekat sini, dan mereka sangat bermusuhan.		
112	Serangan Binatang	Seekor beruang agresif muncul di dekat sini, dan ia sangat bermusuhan.		
113	Serangan Binatang	Sekelompok penyu yang panik muncul di dekat sini, dan mereka sangat bermusuhan.		
114	Serangan Binatang	Sekelompok katak gila muncul di dekat sini, dan mereka sangat bermusuhan.		
115	Serangan Binatang	Seekor kucing agresif muncul di dekat sini, dan ia sangat bermusuhan.		
116	Serangan Binatang	Sekelompok banteng gila telah muncul di dekat sini, dan mereka sangat bermusuhan.		
117	Serangan Binatang	Seekor harimau agresif muncul di dekat sini, dan ia sangat bermusuhan.		
118	Menyerang	Sekelompok pembudidaya Yaoguai menaruh perhatian serakah pada properti sekte Anda. Mereka muncul di dekatnya dengan penuh permusuhan.		
119	Menyerang	Sekelompok pembudidaya Yaoguai bermaksud menumbangkan sekte Anda. Mereka berkeliaran di sekitar dengan mata haus darah.		
120	Menyerang	Sekelompok pembudidaya Yaoguai menyimpan kebencian yang besar terhadap sekte Anda karena alasan tertentu, dan mereka akan melancarkan serangan.		
121	Menyerang	Sekelompok pembudidaya Yaoguai yang kuat bermaksud merampok kekayaan sekte Anda untuk memperkaya diri mereka sendiri.		
122	Menyerang	Sekelompok pembudidaya Yaoguai yang kuat mencoba memecat dan membantai sekte Anda.		
