ID	Name	Desc

-1	Latar Belakang Misteri	Kisah [NAME] telah hilang, begitu pula semua informasi mengenainya. (Kosong)
1	Bersekolah di rumah	[NAME] menerima pendidikan budaya yang lengkap sejak kecil. Sekolah di rumah memungkinkan [ENHIM] untuk memahami berbagai bidang informasi, dan juga memungkinkan [ENHIM] untuk mengembangkan cara yang halus berkat banyaknya buku yang tersedia.
2	Raja Anak	[NAME] lahir di sebuah desa pegunungan kecil dan merupakan seorang pemula sejak awal, namun kemampuan kepemimpinannya juga melimpah. [NAME] sering kali memimpin sekelompok anak-anak menuruni gunung untuk bermain dan juga berkelahi dengan anak-anak dari desa tetangga.
3	Yatim piatu	Orang tua [NAME] meninggal saat masih muda sehingga harus berusaha bertahan hidup tanpa ada orang lain yang memberikan dukungan. Kehidupan yang sulit membuat [ENHIM] memiliki fisik yang lebih mengesankan dan waktu reaksi yang jauh lebih cepat dibandingkan anak-anak lain pada usia yang sama.
4	Hilang ingatan	[NAME] benar-benar kehilangan ingatan masa kecilnya. Setiap kali [NAME] mencoba mengingat sesuatu, sakit kepala yang membelah adalah satu-satunya hal yang didapat dari upaya tersebut. Dalam upaya untuk menemukan kebenaran, [NAME] menghabiskan banyak upaya untuk menyelidiki legenda. Meskipun penyebabnya belum ditemukan, pengalaman tersebut masih memberikan [ENHIM] lebih dari beberapa pembuka percakapan.
5	Pewaris Tertua	[NAME] adalah pewaris tertua dari keluarga kaya, yang menikmati masa kecil tanpa keinginan. __NAMA__ tidak perlu mengotori tangan [ITS], dan hanya mendapat pendidikan terbaik.
6	Pewaris Tertua	[NAME] adalah putri sulung dari keluarga kaya, yang menikmati masa kecil tanpa keinginan. [IT] tidak perlu mengotori tangan [ITS], dan hanya mendapat pendidikan terbaik.
7	Keluarga Intelektual	[NAME] dilahirkan dalam Keluarga Intelektual dan karenanya fasih dalam budaya. Namun bertahun-tahun penulisan membuat [NAME] kurang dalam hal fisik.
8	Keluarga Seniman Bela Diri	[NAME] dilahirkan dalam keluarga seniman bela diri dan menerima pelatihan ketat sejak usia muda. Tumbuh besar dikelilingi oleh seniman bela diri meninggalkan pemahaman yang sangat mendalam tentang pertempuran.
9	Pemuda Pembunuh	[NAME] adalah seorang anak yatim piatu yang dibesarkan oleh para pembunuh untuk menjadi pembunuh berdarah dingin. Anak yatim piatu hanya bisa melarikan diri dari kehidupan ini ketika organisasi pembunuh dihancurkan.
