talk	notarget	int	string	float	thing
NotEatShit	Saya tidak akan makan kotoran.				
NotEatEssence	Saya tidak akan makan Genius Dibao kecuali Anda memberi saya makan				
NotEatDrug	Bahkan jika Anda membunuh saya, saya tidak akan memakan pil sebagai makanan ringan kecuali jika diberikan kepada saya.				
NotEatWheat	Saya hanya makan gandum ketika saya lapar				
NotEatDryMeat	Aku... benar-benar tidak bisa makan dendeng				
NotEatPear	Apa itu buah pir? Bisakah itu dimakan?				
NotEatMeat	Daging mentah itu menjijikkan, saya tidak akan pernah memakannya kecuali benar-benar diperlukan				
NotEatCook	Toko kue adalah makanan terakhir yang ingin saya makan				
NotBiteBuilding	Saya tidak benar-benar ingin menyerang bangunan				
NotBiteClothes	Saya tidak bermain-main dengan pakaian				
NotBiteOuter	Saya tidak akan menyerang murid luar				
NotBiteInner	Saya tidak akan menyerang murid batiniah				
NotBiteVisitor	Saya tidak akan menyerang pengunjung				
NotBiteIncoming	Saya tidak akan menyerang manusia yang datang				
NotAtkEnemy	Saya tidak akan menyerang musuh kecuali diserang				
NotShitAtShitPlace	Saya tidak akan mengeluarkan kotoran di titik ekskresi				
NotShitAtPlants	Saya tidak buang air besar di samping tanaman				
NotShitAtDogHouse	Aku tidak akan buang air besar di sarangku				
NotShitAtStorage	Saya tidak akan buang air besar di gudang				
NotShitOnBed	Aku tidak akan buang air besar di tempat tidur				
NotShitInFarm	Saya tidak akan buang air besar di lahan pertanian				
NotCarryOuterToBed	Saya tidak akan memindahkan murid yang tidak sadarkan diri ke tempat tidur				
NotCarryVisitorToDest	Saya tidak akan memindahkan pengunjung yang tidak sadarkan diri ke titik bergerak				
NotCarryEnemyToDest	Saya tidak akan memindahkan musuh yang tidak sadarkan diri ke titik transfer				
NotCarryIncomingToDest	Saya tidak akan memindahkan manusia yang tidak sadarkan diri ke titik yang bergerak.				
NotCarryEnemyBodyToDest	Saya tidak akan memindahkan mayat musuh ke titik transportasi				
NotCarryVisitorBodyToDest	Saya tidak akan memindahkan jenazah pengunjung ke tempat pemindahan				
NotCarryIncomingBodyToDest	Saya tidak akan membawa mayat fana ke titik perpindahan				
NotHelpCarry	Saya tidak akan membantu mengatur segalanya				
NotHelpTimber	Saya tidak akan membantu menebang pohon itu				
NotHelpMine	Aku tidak akan membantu milikku				
NotHelpFind	Saya tidak akan membantu menjarah barang				
NotHelpKill	Saya tidak akan membantu menyembelih hewan				
NotHelpPlant	Saya tidak akan membantu menyuburkan tanaman				
NotCureFreeze	Saya tidak akan membantu mengatasi radang dingin				
NotCureHot	Saya tidak akan membantu mengobati sengatan panas				
NotHelpCook	Saya tidak bisa membantu memasak				
NotHeatEndure	Saya tidak akan membantu meningkatkan toleransi panas				
NotColdEndure	Saya tidak akan membantu meningkatkan toleransi dingin				
NotHelpPlay	Saya tidak akan bermain-main dengan murid-murid saya				
NotPlayToy	Saya tidak bisa bermain dengan mainan				
NotTrainQiGan	Saya tidak tahu cara melatih kemampuan reiki.				
NotTrainNeiDan	Saya tidak tahu bagaimana melatih kemampuan mengendalikan ramuan itu				
NotTrainHuTi	Saya tidak tahu bagaimana melatih kemampuan perlindungan tubuh saya				
NotTrainLingZhi	Saya tidak tahu bagaimana melatih kemampuan mental saya				
NotTrainShuFa	Saya tidak tahu cara melatih keterampilan sihir				
WannaEatShit					Ini {0}, enakkah?
